"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"R11";"R_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"???";;;
2;"J4";"PinHeader_1x02_P2.00mm_Vertical";1;"Backlight";;;
3;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"4K7";;;
4;"J2";"PinHeader_1x05_P1.27mm_Vertical";1;"Conn_01x05";;;
5;"R10";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10M";;;
6;"R9,R8,R7,R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"2K";;;
7;"R5,R4,R3,R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"1K";;;
8;"C13,C12";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"4u7";;;
9;"C11,C10,C9,C7,C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";5;"100nF";;;
10;"C8,C3,C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";3;"10uF";;;
11;"C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10nF";;;
12;"C5";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1uF/25";;;
13;"C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100nf";;;
14;"U1";"SOT-223-3_TabPin2";1;"LM1117-3.3";;;
15;"J1";"PeugeotPCBConnector";1;"PeugeotPCBConnector";;;
16;"U2";"TQFP-44_10x10mm_P0.8mm";1;"CY8C4245AXI-483";;;
17;"J3";"ER-CON30HB-1";1;"ER-CON30HB-1";;;
